id,txtName,txtCode,booPrefer,numNote,txtSpelling,numOrdering,numSymForms,numHalfStepsInRow,txtNumIntervalForm,txtAltNames
1,Major Second Interval,n2,0,2,2,512,0,1,2,Whole-tone
2,Major Third,n3,0,2,3,128,0,1,4,
3,Perfect Fourth Interval,P4,0,2,4,64,0,1,5,Honchoshi
4,Perfect Fifth,P5,1,2,5,16,0,1,7,Niagari Scale
5,Major Sixth Interval,n6,1,2,6,4,0,1,9,
6,Major Seventh Interval,n7,1,2,7,1,0,2,11,
7,Minor Second Interval,d2,0,2,b2,1024,0,2,1,Semitone
8,Minor Third,d3,0,2,b3,256,0,1,3,
9,Tritone,T,1,2,b5,32,1,1,6,
10,Minor Sixth Interval,d6,1,2,b6,8,0,1,8,
11,Minor Seventh Interval,d7,1,2,b7,2,0,1,10,Warao Diatonic
12,Sus Two Chord,sus2,0,3,"2,5",528,0,1,2 5,Quartal Trichord
13,Major Chord,M,1,3,"3,5",144,0,1,4 3,"Raga Malasri, Peruvian Tritonic One"
14,Major Flat Five,Mb5,1,3,"3,b5",160,0,1,4 2,
15,Aug Chord,+,1,3,"3,b6",136,1,1,4 4,"Semitone Scale, Four Semitone, Major Sharp Five"
16,Sus Four,sus4,1,3,"4,5",80,0,1,5 2,Raga Sarvasri
17,Sansagari,Sans,0,3,"4,b7",66,0,1,5 5,
18,Minor Chord,-,1,3,"b3,5",272,0,1,3 4,Peruvian Tritonic Two
19,Peruvian Tritonic,Peru3,0,3,"b3,6",260,0,1,3 6,Ute Tritonic
20,Dim Chord,o,1,3,"b3,b5",288,0,1,3 3,
21,Ute Tritonic,Ute,1,3,"b3,b7",258,0,1,3 7,
22,Raga Ongkari,ROng,1,3,"b5,5",48,0,2,6 1,Sharp Eleven Chord
23,Two,2,1,4,"2,3,5",656,0,1,2 2 3,"Eskimo Tetratonic, Add Two, Sus Two Add Three, Add Nine Omit Three"
24,Genus Primum,GP,0,4,"2,4,5",592,0,1,2 3 2,Sus Two Four
25,Raga Bhavani,RBha,0,4,"2,4,6",580,0,1,2 3 4,
26,Seventh Sus Two,7sus2,0,4,"2,5,b7",530,0,1,2 5 3,
27,Minor Two,-2,1,4,"2,b3,5",784,0,2,2 1 4,Minor Add Nine
28,Warao Tetratonic,WTet,1,4,"2,b3,b7",770,0,2,2 1 7,
29,Messiaen Six,M6,0,4,"2,b5,b6",552,2,1,2 4 2,
30,Four,4,1,4,"3,4,5",208,0,2,4 1 2,Add 4
31,Six Chord,6,0,4,"3,5,6",148,0,1,4 3 2,German Six
32,Major Seven,M7,1,4,"3,5,7",145,0,2,4 3 4,
33,Seven,7,1,4,"3,5,b7",146,0,1,4 3 3,"Raga Mahathi, Antara Kaishiaki"
34,Raga Nigamagamini,RNig,1,4,"3,b5,7",161,0,2,4 2 5,Major Seven Flat Five
35,Seven Flat Five,7b5,1,4,"3,b5,b7",162,2,1,4 2 4,Messiaen Truncated Mode 6 Inv.
36,Aug Seven,+7,1,4,"3,b6,b7",138,0,1,4 4 2,Seven Sharp Five Chord
37,Major Seven Sharp Five,M7#5,1,4,"3,b6,7",137,0,2,4 4 3,
39,Seven Sus Four,7sus4,1,4,"4,5,b7",82,0,1,5 2 3,Genus Primum Inverse
40,Messiaen Five Inv.,M5i,0,4,"4,b5,7",97,2,2,5 1 5,
41,Raga Lavangi,RLav,1,4,"b2,5,b7",1042,0,2,1 6 3,
42,Messiaen Five,M5,1,4,"b2,b5,5",1072,2,2,1 5 1,
44,Minor Four Chord,-4,1,4,"b3,4,5",336,0,1,3 2 2,Minor Add Four
45,Minor Six,-6,1,4,"b3,5,6",276,0,1,3 4 2,
46,Minor Major Seventh,-M7,1,4,"b3,5,7",273,0,2,3 4 4,
47,Minor Seven,-7,1,4,"b3,5,b7",274,0,1,3 4 3,Bi Yu
48,Dim Seven,o7,1,4,"b3,b5,6",292,1,1,3 3 3,"Three Semitone, French Six"
49,Half Dim,ob7,0,4,"b3,b5,b7",290,0,1,3 3 4,"Minor Seven Flat Five, Tristan Chord"
50,Major Pentatonic,MPent,1,5,"2,3,5,6",660,0,1,2 2 3 2,"Six Nine Chord, Mongolian, Diatonic,  Chinese 1, Ghana Pentatonic, Ryosen, Yona Nuki Major, Man Jue, Gong, Raga Bhopali, Bhup, Mohanam, Deskar, Bilahari, Kokila, Jait Kalyan, Peruvian Pentatonic One"
51,Major Nine,M9,1,5,"2,3,5,7",657,0,2,2 2 3 4,"Raga Hamsadhvani, Raga Hansadhvani"
52,Nine,9,1,5,"2,3,5,b7",658,0,1,2 2 3 3,Dominant Pentatonic
53,Kung,Kung,0,5,"2,3,b5,6",676,0,1,2 2 2 3,Six Nine Flat Five
54,Raga Kumardaki,RKumarD,1,5,"2,3,b5,7",673,0,2,2 2 2 5,"Major Nine Flat Five, Kumudki"
55,Nine Flat Five,9b5,1,5,"2,3,b5,b7",674,0,1,2 2 2 4,
56,Nine Sharp Five,9#5,0,5,"2,3,b6,b7",650,0,1,2 2 4 2,
57,Ritusen,Ritusen,0,5,"2,4,5,6",596,0,1,2 3 2 2,"Arabhi, Durga, Major Complementary, Ritusen, Ritsu, Zhi, Zheng, Raga Devakriya, Suddha Saveri, Arabhi, Scottish Pentatonic, Ujo, P'yongjo, Major complement"
58,Egyptian,Egypt,0,5,"2,4,5,b7",594,0,1,2 3 2 3,"Elevent Omit Three, Aeolian Pentatonic, Jin Yu, Madhmat Sarang, Yo, Suspended Pentatonic, Raga Madhyamavati, Madhmat Sarang, Egyptian, Shang, Rui Bin, Qing Yu"
59,Chad Gadyo,Chad,0,5,"2,b3,4,5",848,0,2,2 1 2 2,"Raga Purnalalita, Ghana Pentatonic One, Nando-kyemyonjo"
60,Raga Abhogi,RAbh,0,5,"2,b3,4,6",836,0,2,2 1 2 4,
61,Raga Audav Tukhari,RAT,0,5,"2,b3,4,b6",840,0,2,2 1 2 3,
62,Kumoi,Kum,1,5,"2,b3,5,6",788,0,2,2 1 4 2,"Minor Six Nine Chord, Minor Six Add Nine Chord, Akebono One, Raga Sivaranjini, Shivranjani, Dorian Pentatonic \r\n"
63,Minor Major Nine,-M9,1,5,"2,b3,5,7",785,0,2,2 1 4 4,
64,Hira-joshi,Hir,1,5,"2,b3,5,b6",792,0,2,2 1 4 1,"Kata-kumoi, Yona Nuki mineur, Hon-kumoi-joshi, Sakura, Akebono II"
65,Minor Nine Chord,-9,1,5,"2,b3,5,b7",786,0,2,2 1 4 3,
66,Ryukyu,Ryu,1,5,"3,4,5,7",209,0,2,4 1 2 4,"Hirajoshi Two, Major Eleven Omit Nine, Raga Gambhiranata"
67,Seven Eleven,7/11,1,5,"3,4,5,b7",210,0,2,4 1 2 3,"Eleven Omit Nine, Mixolydian Pentatonic, Raga Savethri"
68,Raga Mamata,RMam,0,5,"3,5,6,7",149,0,2,4 3 2 2,Major Thirteen Omit 9 Omit 11
69,Seven Six,7/6,1,5,"3,5,6,b7",150,0,2,4 3 2 1,"Thirteen Omit Nine Omit Eleven, Raga Valaji"
70,Seven Sharp Eleven,7#11,0,5,"3,b5,5,b7",178,0,2,4 2 1 3,
71,Chinese,Chin,0,5,"3,b5,5,7",177,0,2,4 2 1 4,"Major Seven Sharp Eleven Chord, Chinese 2, Raga Amritavarshini, Malashri, Shilangi"
72,Raga Nabhomani,RNab,0,5,"b2,2,b5,5",1584,0,3,1 1 4 1,
73,Mangal-Bairo,MB,1,5,"b2,3,4,7",1217,0,3,1 3 1 6,Raga Megharanji
74,Syrian Pentatonic,SPent,1,5,"b2,3,4,b6",1224,0,2,1 3 1 3,Raga Megharanjani
75,Scriabin,Scri,1,5,"b2,3,5,6",1172,0,2,1 3 3 2,"Raga Rasika Ranjani, Jait, Marva, Vibhas Marva"
76,Raga Reva,RRev,1,5,"b2,3,5,b6",1176,0,2,1 3 3 1,"Bhairava, Revagupti, Ramkali, Vibhas Bhairava"
77,Seven Flat Nine,7b9,1,5,"b2,3,5,b7",1170,0,2,1 3 3 3,Raga Manaranjani I
78,Seven Flat Five Flat Nine,7b5b9,0,5,"b2,3,b5,b7",1186,0,2,1 3 2 4,
79,Raga Kshanika,RKsha,1,5,"b2,3,b6,7",1161,0,3,1 3 4 3,
80,Aug Seven Flat Nine,aug7b9,0,5,"b2,3,b6,b7",1162,0,2,1 3 4 2,Seven Sharp Five Flat Nine
81,Altered Pentatonic,APent,1,5,"b2,4,5,6",1108,0,2,1 4 2 2,Raga Manaranjani Two
82,Raga Gauri,RGaur,1,5,"b2,4,5,7",1105,0,3,1 4 2 4,
83,Saveri,Sav,0,5,"b2,4,5,b6",1112,0,2,1 4 2 1,"Japanese One, Hon-kumoi-joshi, Gunakri, Gunakali, Kumoi One, Raga Salanganata, Latantapriya"
84,Baira,Baira,0,5,"b2,4,5,b7",1106,0,2,1 4 2 3,"Kokin-Joshi, Miyakobushi, Han-Iwato, In Sen: Japan, Raga Vibhavari, Revati, Bairagi, Lasaki"
85,Iwato,Iwa,0,5,"b2,4,b5,b7",1122,0,2,1 4 1 4,
86,Raga Deshgaur,RDeshG,1,5,"b2,5,b6,7",1049,0,3,1 6 1 3,
87,Balinese Pelog,BP,0,5,"b2,b3,5,b6",1304,0,2,1 2 4 1,"Balinese, Bhupal Todi, Bhupala Todi, Bibhas, Raga Bhupalam"
88,Pelog,Pelog,0,5,"b2,b3,5,b7",1298,0,2,1 2 4 3,Raga Rukmangi
89,Raga Chhaya Todi,RCT,0,5,"b2,b3,b5,b6",1320,0,2,1 2 3 2,
90,Yashranjani,Yash,1,5,"b2,b5,5,b6",1080,0,3,1 5 1 1,Raga Saugandhini
91,Seven Sharp Nine,7#9,0,5,"b3,3,5,b7",402,0,2,3 1 3 3,
92,Aug Seven Sharp Nine,aug7#9,0,5,"b3,3,b6,b7",394,0,2,3 1 4 2,Seven Sharp Five Sharp Nine Chord
93,Madhuranjani,MR,1,5,"b3,4,5,7",337,0,2,3 2 2 4,"Minor Major Eleven Omit Nine, Raga Nata, Udayaravicandrika"
94,Minor Pentatonic,-Pent,0,5,"b3,4,5,b7",338,0,1,3 2 2 3,"Minor 7/11, Minor 11 Omit 9, Phrygian Pentatonic, Blues Pentatonic, Abheri, Gu Xian, Jia Zhong, Kyenmyonjo, Raga Dhani, Suddha Dhanyasi, Udhayaravi Chandrika, Qing Shang, Yu, Pyongjo-kyenmyonjo, Minyo"
95,Locrian Pentatonic,LocPent,0,5,"b3,4,b6,b7",330,0,1,3 2 3 2,"Raga Mallkauns, Malakosh, Raga Hindola, Man Gong, Quan Ming, Yi Ze, Jiao"
96,"Minor Major Thirteen Omit 9,11",-M13om911,1,5,"b3,5,6,7",277,0,2,3 4 2 2,
97,"Minor Thirteen Omit 9, 11",-13om911,1,5,"b3,5,6,b7",278,0,2,3 4 2 1,
98,Mixolydian Ionian,MI,0,6,"2,3,4,5,6",724,0,2,2 2 1 2 2,"Arezzo Major Diatonic Hexachord, Devarangini, Raga Kambhoji, Schottish Hexatonic"
99,Kendaram,Kend,1,6,"2,3,4,5,7",721,0,2,2 2 1 2 4,"Major Eleven Chord, Raga Nalinakanti, Vilasini"
100,Raga Siva Kambhoji,RSiv,1,6,"2,3,4,5,b7",722,0,2,2 2 1 2 3,Eleven Chord
101,Raga Hamsa Vinodini,RHV,0,6,"2,3,4,6,7",709,0,2,2 2 1 4 2,
102,Raga Rageshri,RRagShri,0,6,"2,3,4,6,b7",710,0,2,2 2 1 4 1,
103,Raga Dipak,RDip,1,6,"2,3,4,b5,5",752,0,4,2 2 1 1 1,
104,Raga Sarasanana,RSS,1,6,"2,3,4,b6,7",713,0,2,2 2 1 3 3,
105,Raga Kumud,RKumud,1,6,"2,3,5,6,7",661,0,2,2 2 3 2 2,"Ionian Lydian Scale, Major Thirteen Omit Eleven Chord, Lydian Hexatonic, Sankara, Shankara"
106,Thirteen Omit Eleven Chord,13om11,1,6,"2,3,5,6,b7",662,0,2,2 2 3 2 1,
107,Raga Latika,RLat,1,6,"2,3,5,b6,7",665,0,2,2 2 3 1 3,
108,Raga Yamuna Kalyani,RYK,0,6,"2,3,b5,5,6",692,0,2,2 2 2 1 2,"Ancient Chinese, Kalyani Keseri"
109,Ratnakanthi,Ratna,0,6,"2,3,b5,5,7",689,0,2,2 2 2 1 4,Raga Caturangini
110,Raga Mruganandana,RMru,0,6,"2,3,b5,6,7",677,0,2,2 2 2 3 2,
111,Prometheus,Prom,1,6,"2,3,b5,6,b7",678,0,2,2 2 2 3 1,Raga Barbara
112,Point Hope Eskimo Hexatonic,PHEH,0,6,"2,3,b5,b6,7",681,0,2,2 2 2 2 3,
114,Whole Tone,WT,1,6,"2,3,b5,b6,b7",682,1,1,2 2 2 2 2,"Auxiliary Augmented, Anhemitonic Hexatonic, Messiaen One, Raga Gopriya"
115,Raga Nagandhari,RNag,0,6,"2,4,5,6,7",597,0,2,2 3 2 2 2,
116,Pyongjo,Pyon,0,6,"2,4,5,6,b7",598,0,2,2 3 2 2 1,"Dominant Seventh, Yosen, Raga Darbar, Narayani, Suposhini, Andolika, Gorakh Kalyan, Mixolydian Hexatonic"
117,Raga Bhinna Pancama,RBhi,1,6,"2,4,5,b6,7",601,0,2,2 3 2 1 3,
118,Raga Navamanohari,RNav,0,6,"2,4,5,b6,b7",602,0,2,2 3 2 1 2,
119,Megh,Megh,0,6,"2,4,5,b7,7",595,0,3,2 3 2 3 1,Raga Sarang
120,Raga Suddha Bangala,RSuddhaB,0,6,"2,b3,4,5,6",852,0,2,2 1 2 2 2,Gauri Velavali
121,Minor Major Eleven,-M11,1,6,"2,b3,4,5,7",849,0,2,2 1 2 2 4,
122,Minor Hexatonic,-Hex,0,6,"2,b3,4,5,b7",850,0,2,2 1 2 2 3,"Aeolian Dorian, Minor Eleven Chord, Manirangu, Raga Palasi, Manirangu, Nayaki, Pushpalithika, Yo, King Island Eskimo Hexatonic"
123,Kapijingla,Kap,0,6,"2,b3,4,6,b7",838,0,2,2 1 2 4 1,"Raga Bagesri, Sriranjani"
124,Pyramid Hexatonic,PH,0,6,"2,b3,4,b5,6",868,0,2,2 1 2 1 3,
125,Blues Scale,Blues,0,6,"2,b3,4,b5,b7",866,0,2,2 1 2 1 4,
126,Raga Ghantana,RGhant,0,6,"2,b3,4,b6,7",841,0,2,2 1 2 3 3,"Kaushiranjani, Kaishikiranjani"
127,Hawaiian Hexatonic,HH,1,6,"2,b3,5,6,7",789,0,2,2 1 4 2 2,Minor Major Thirteen Omit Eleven Chord
128,Raga Manavi,RMana,1,6,"2,b3,5,6,b7",790,0,2,2 1 4 2 1,Minor Thirteen Omit Eleven Chord
129,Raga Trimurti,RTri,0,6,"2,b3,5,b6,b7",794,0,2,2 1 4 1 2,
130,Raga Vijayanagari,RVij,0,6,"2,b3,b5,5,6",820,0,2,2 1 3 1 2,
131,Raga Kai Kavasi,RKK,0,6,"2,b3,b5,5,7",817,0,2,2 1 3 1 4,Raga Amarasenapriya
132,Raga Syamalam,RSya,0,6,"2,b3,b5,5,b6",824,0,3,2 1 3 1 1,
133,Raga Simharava,RSim,0,6,"2,b3,b5,5,b7",818,0,2,2 1 3 1 3,Raga Sinharavam
134,Raga Ranjani,RRanj,0,6,"2,b3,b5,6,7",805,0,2,2 1 3 3 2,
135,Raga Sarasvati,RSar,0,6,"2,b5,5,6,b7",566,0,2,2 4 1 2 1,
136,Raga Jaganmohanam,RJag,1,6,"2,b5,5,b6,b7",570,0,3,2 4 1 1 2,
137,Raga Malarani,RMR,1,6,"2,b5,5,b7,7",563,0,3,2 4 1 3 1,
138,Raga Hari Nata,RHN,1,6,"3,4,5,6,7",213,0,2,4 1 2 2 2,"Major Thirteen Omit Nine Chord, Genus Secundum"
139,Raga Khamas,RKham,0,6,"3,4,5,6,b7",214,0,2,4 1 2 2 1,"Thirteen Omit Nine Chord, Baduhari"
140,Raga Saravati,RSV,1,6,"3,4,5,b6,6",220,0,3,4 1 2 1 1,Raga Sharavati
141,Raga Paraju,RPar,1,6,"3,4,5,b6,7",217,0,2,4 1 2 1 3,"Ramamanohari, Simhavahini, Sindhu Ramakriya, Kamalamanohari"
142,Raga Kamalamanohari,RKam,0,6,"3,4,5,b6,b7",218,0,2,4 1 2 1 2,
143,Raga Tilang,RTil,1,6,"3,4,5,b7,7",211,0,3,4 1 2 3 1,Brindavani-Tilang
144,Messiaen Mode Five Inverse,MM5i,0,6,"3,4,b5,b7,7",227,3,3,4 1 1 4 1,
145,Raga Vutari,RVut,1,6,"3,b5,5,6,b7",182,0,2,4 2 1 2 1,
146,Raga Jyoti,RJyo,1,6,"3,b5,5,b6,b7",186,0,3,4 2 1 1 2,
147,Raga Vijayavasanta,RVV,1,6,"3,b5,5,b7,7",179,0,3,4 2 1 3 1,
148,Raga Suddha Mukhari,RSM,0,6,"b2,2,4,b6,6",1612,0,3,1 1 3 3 1,
149,Raga Chandrajyoti,RCha,0,6,"b2,2,b5,5,6",1588,0,3,1 1 4 1 2,
150,Messiaen Mode Five,MM5,1,6,"b2,2,b5,5,b6",1592,3,3,1 1 4 1 1,
151,Raga Kalavati,RKalaV,0,6,"b2,3,4,5,6",1236,0,2,1 3 1 2 2,Ragamalini
152,Raga Gaula,RGaul,1,6,"b2,3,4,5,7",1233,0,3,1 3 1 2 4,
153,Malahari,Mal,1,6,"b2,3,4,5,b6",1240,0,2,1 3 1 2 1,"Geyahejjajji, Raga Purna Pancama"
154,Raga Vasanta,RVas,0,6,"b2,3,4,6,7",1221,0,3,1 3 1 4 2,
155,Raga Rudra Pancama,RRP,0,6,"b2,3,4,6,b7",1222,0,2,1 3 1 4 1,
156,Persian Hexatonic,P6,1,6,"b2,3,4,b5,7",1249,0,3,1 3 1 1 5,
157,Six Tone Symmetrical,STS,0,6,"b2,3,4,b6,6",1228,2,2,1 3 1 3 1,Messiaen Truncated Mode Three
158,Sohini,Soh,0,6,"b2,3,4,b6,7",1225,0,3,1 3 1 3 3,"Raga Lalita Hexatonic, Lalit Bhairav, Hamsanandi"
159,Raga Vasantabhairavi,RVasB,0,6,"b2,3,4,b6,b7",1226,0,2,1 3 1 3 2,
160,Raga Malayamarutam,RMY,1,6,"b2,3,5,6,b7",1174,0,2,1 3 3 2 1,
161,Raga Kalagada,RKalaG,1,6,"b2,3,5,b6,6",1180,0,3,1 3 3 1 1,
162,Raga Bauli,RBaul,1,6,"b2,3,5,b6,7",1177,0,3,1 3 3 1 3,
163,Gamakakriya,Gam,1,6,"b2,3,b5,5,7",1201,0,3,1 3 2 1 4,"Raga Mandari, Hamsanarayani"
164,Raga Dhavalangam,RDha,1,6,"b2,3,b5,5,b6",1208,0,3,1 3 2 1 1,
165,Puriya,Puri,1,6,"b2,3,b5,6,7",1189,0,3,1 3 2 3 2,"Marva, Pancama, Raga Hamsanandi"
166,Prometheus Neapolitani,PN,1,6,"b2,3,b5,6,b7",1190,0,2,1 3 2 3 1,Prometheus Neapolitan
167,Raga Hejjajji,RHejj,0,6,"b2,3,b5,b6,6",1196,0,2,1 3 2 2 1,
168,Raga Jivantika,RJiv,1,6,"b2,4,5,6,7",1109,0,3,1 4 2 2 2,
169,Raga Rasavali,RRasav,0,6,"b2,4,5,6,b7",1110,0,2,1 4 2 2 1,
170,Raga Padi,RPad,0,6,"b2,4,5,b6,7",1113,0,3,1 4 2 1 3,Mela Ganamurti
171,Insen,Ins,0,6,"b2,4,5,b6,b7",1114,0,2,1 4 2 1 2,Raga Phenadyuti
172,Raga Suddha Simantini,RSuddhaS,0,6,"b2,b3,4,5,b6",1368,0,2,1 2 2 2 1,
173,Raga Gandharavam,RGandh,0,6,"b2,b3,4,5,b7",1362,0,2,1 2 2 2 3,
174,Double Phrygian Hexatonic,DPH,0,6,"b2,b3,4,b5,6",1380,0,2,1 2 2 1 3,
175,Ritsu,Ritsu,0,6,"b2,b3,4,b6,b7",1354,0,2,1 2 2 3 2,"Honchoshi Plagal Form, Raga Suddha Todi"
176,Raga Salagavarali,RSal,0,6,"b2,b3,5,6,b7",1302,0,2,1 2 4 2 1,
177,Messiaen Truncated Mode Two,MT2,1,6,"b2,b3,b5,5,6",1332,3,2,1 2 3 1 2,
178,Raga Vijayasri,RVS,1,6,"b2,b3,b5,5,7",1329,0,3,1 2 3 1 4,
179,Raga Gurjari Todi,RGT,0,6,"b2,b3,b5,b6,7",1321,0,3,1 2 3 2 3,
180,Raga Bhavani Hexatonic,RBH,0,6,"b2,b3,b5,b6,b7",1322,0,2,1 2 3 2 2,
181,Jog,Jog,1,6,"b3,3,4,5,b7",466,0,3,3 1 1 2 3,Raga Bhanumanjari
